Country,Code,year,GDPphead,MaternalMortRate,NeonatalDeathRate,stuntPerc5,PrcntBelowPovertyLine,NoPeopleBPovertyLine,unfedprcnt
Ghana,GHA,2008,3558.789063,342,31.2,28.4,56.99251632,7723223,8.2
Ghana,GHA,2009,3637.476318,339,30.5,25.15,56.99251632,7723223,6.6
Ghana,GHA,2010,3828.419434,339,29.8,25.15,56.99251632,7723223,6.1
Ghana,GHA,2011,4261.620605,339,29,22.8,56.99251632,7723223,6.1
Ghana,GHA,2012,4548.57959,336,28.2,25.15,51.91946536,6692261,6.4
Ghana,GHA,2013,4769.072754,331,27.5,25.15,56.99251632,7723223,6.6
Ghana,GHA,2014,4794.146973,325,26.8,18.8,56.99251632,7723223,7.1
Ghana,GHA,2015,4785.994629,320,26,25.15,56.99251632,7723223,7.7
Ghana,GHA,2016,4837.538086,314,25.4,25.15,48.89308529,7204371,7.7
Ghana,GHA,2017,5115.906738,308,24.7,17.5,56.99251632,7723223,7.1
Kenya,KEN,2000,3188.999756,708,28.2,40.8,61.98626506,13745640,25.7
Kenya,KEN,2001,3220.475586,702,28,34.15,61.98626506,13745640,32.2
Kenya,KEN,2002,3151.437744,692,27.8,34.15,61.98626506,13745640,33.6
Kenya,KEN,2003,3157.137939,678,27.5,35.8,61.98626506,13745640,34.9
Kenya,KEN,2004,3229.22168,653,27.1,34.15,61.98626506,13745640,32.1
Kenya,KEN,2005,3327.55127,618,26.6,40.3,64.39965859,13431756,28.5
Kenya,KEN,2006,3446.551025,583,26.1,34.15,61.98626506,13745640,26.1
Kenya,KEN,2007,3582.106934,545,25.6,34.15,61.98626506,13745640,26.9
Kenya,KEN,2008,3492.43335,513,25.1,35.5,61.98626506,13745640,26.6
Kenya,KEN,2009,3510.029785,472,24.6,34.15,61.98626506,13745640,24.7
Kenya,KEN,2010,3691.012939,432,24.2,34.15,61.98626506,13745640,22.2
Kenya,KEN,2011,3776.910645,398,23.9,26.3,61.98626506,13745640,20.6
Kenya,KEN,2012,3845.686768,373,23.5,34.15,61.98626506,13745640,19.8
Kenya,KEN,2013,3888.569092,364,23.2,34.15,61.98626506,13745640,19.5
Kenya,KEN,2014,3980.585449,358,22.9,26.2,61.98626506,13745640,19.6
Kenya,KEN,2015,4075.501953,353,22.6,34.15,59.57287153,14059525,21.5
Kenya,KEN,2016,4145.640625,346,22.2,34.15,61.98626506,13745640,23.3
Kenya,KEN,2017,4203.584961,342,21.8,34.15,61.98626506,13745640,25.1
